Year,Month,Day,Hour,Po,P,U,Ff,Td,T
2015,4,1,2,753.4,759.6,90.0,2.0,20.5,22.3
2015,4,1,5,758.2,758.8,90.0,2.0,20.1,21.9
2015,4,1,8,754.0,760.2,87.0,2.0,20.3,22.6
2015,4,1,11,759.4,760.0,77.0,5.0,20.9,25.3
2015,4,1,14,751.9,758.2,73.0,5.0,21.3,26.6
2015,4,1,17,756.1,756.7,73.0,6.0,20.9,26.2
2015,4,1,20,751.0,757.2,78.0,6.0,20.4,24.5
2015,4,1,23,757.3,757.9,87.0,4.0,21.1,23.4
2015,4,2,2,750.3,756.4,85.0,6.0,21.0,23.7
2015,4,2,5,755.1,755.7,87.0,3.0,21.2,23.5
2015,4,2,8,750.6,756.8,86.0,4.0,21.5,24.0
2015,4,2,11,756.1,756.7,76.0,5.0,21.4,26.0
2015,4,2,14,748.1,754.3,69.0,6.0,21.7,28.0
2015,4,2,17,752.5,753.1,69.0,6.0,21.5,27.8
2015,4,2,20,748.3,754.4,83.0,6.0,21.8,24.9
2015,4,2,23,754.3,754.9,86.0,3.0,22.0,24.5
2015,4,3,2,747.9,754.0,87.0,3.0,21.9,24.3
2015,4,3,5,752.9,753.5,87.0,3.0,22.0,24.4
2015,4,3,8,749.7,755.8,83.0,3.0,21.5,24.6
2015,4,3,11,755.5,756.1,74.0,4.0,21.3,26.4
2015,4,3,14,748.2,754.3,77.0,5.0,21.9,26.3
2015,4,3,17,752.6,753.2,79.0,6.0,22.1,26.1
2015,4,3,20,748.5,754.6,81.0,6.0,22.0,25.6
2015,4,3,23,755.5,756.1,82.0,4.0,22.1,25.4
2015,4,4,2,749.2,755.4,83.0,5.0,21.9,25.0
2015,4,4,5,754.8,755.4,85.0,5.0,22.1,24.8
2015,4,4,8,750.7,756.9,81.0,4.0,22.1,25.7
2015,4,4,11,757.0,757.6,70.0,5.0,21.6,27.6
2015,4,4,14,750.1,756.3,61.0,8.0,21.0,29.3
2015,4,4,17,755.2,755.8,64.0,5.0,21.1,28.6
2015,4,4,20,751.0,757.2,79.0,6.0,21.6,25.6
2015,4,4,23,757.9,758.5,85.0,4.0,22.0,24.7
2015,4,5,2,751.6,757.7,84.0,4.0,21.6,24.5
2015,4,5,5,757.1,757.7,86.0,2.0,21.3,23.8
2015,4,5,8,753.0,759.1,77.0,2.0,21.6,26.0
2015,4,5,11,758.9,759.5,61.0,4.0,19.6,27.9
2015,4,5,14,751.6,757.7,36.0,8.0,13.5,30.3
2015,4,5,17,756.1,756.7,46.0,5.0,17.3,30.2
2015,4,5,20,751.7,757.9,67.0,3.0,19.4,26.0
2015,4,5,23,758.3,758.9,87.0,1.0,20.0,22.3
2015,4,6,2,752.4,758.5,92.0,0.0,19.6,21.0
2015,4,6,5,757.6,758.2,94.0,1.0,19.2,20.2
2015,4,6,8,753.3,759.5,92.0,1.0,20.6,22.0
2015,4,6,11,759.1,759.7,59.0,2.0,19.6,28.4
2015,4,6,14,751.8,757.9,47.0,2.0,18.3,31.0
2015,4,6,17,756.4,757.0,45.0,1.0,17.8,31.2
2015,4,6,20,751.9,758.1,78.0,1.0,20.9,25.1
2015,4,6,23,759.0,759.6,88.0,1.0,21.1,23.2
2015,4,7,2,752.8,759.0,90.0,1.0,20.7,22.5
2015,4,7,5,758.3,758.9,92.0,1.0,21.0,22.4
2015,4,7,8,754.1,760.3,83.0,3.0,20.5,23.6
2015,4,7,11,760.7,761.3,63.0,3.0,18.3,25.9
2015,4,7,14,753.6,759.7,53.0,3.0,18.9,29.5
2015,4,7,17,759.7,760.3,64.0,5.0,15.6,22.8
2015,4,7,20,755.7,762.0,70.0,6.0,14.4,20.1
2015,4,7,23,763.8,764.4,83.0,6.0,13.3,16.2
2015,4,8,2,758.5,764.8,73.0,3.0,11.3,16.2
2015,4,8,5,764.2,764.8,93.0,3.0,12.1,13.3
2015,4,8,8,759.4,765.8,92.0,2.0,12.0,13.3
2015,4,8,11,766.0,766.6,88.0,6.0,10.4,12.4
2015,4,8,14,758.7,765.1,92.0,3.0,11.6,12.9
2015,4,8,17,763.6,764.2,90.0,2.0,11.9,13.6
2015,4,8,20,758.6,765.1,89.0,3.0,11.6,13.4
2015,4,8,23,765.6,766.2,88.0,2.0,11.4,13.4
2015,4,9,2,758.4,764.9,93.0,2.0,11.8,12.9
2015,4,9,5,763.6,764.2,91.0,3.0,11.3,12.8
2015,4,9,8,758.2,764.8,88.0,3.0,11.4,13.4
2015,4,9,11,764.5,765.1,85.0,3.0,12.3,14.8
2015,4,9,14,757.4,763.9,83.0,4.0,11.9,14.8
2015,4,9,17,762.7,763.3,92.0,5.0,12.3,13.6
2015,4,9,20,757.8,764.3,93.0,3.0,12.0,13.2
2015,4,9,23,764.5,765.1,94.0,2.0,12.2,13.2
2015,4,10,2,757.8,764.2,94.0,1.0,12.0,13.0
2015,4,10,5,763.5,764.1,94.0,3.0,11.6,12.6
2015,4,10,8,759.1,765.6,93.0,3.0,11.7,12.8
2015,4,10,11,765.1,765.7,84.0,4.0,11.3,14.0
2015,4,10,14,757.9,764.3,84.0,3.0,12.1,14.8
2015,4,10,17,763.3,763.9,84.0,4.0,11.3,14.0
2015,4,10,20,758.4,764.9,89.0,4.0,11.7,13.5
2015,4,10,23,764.9,765.5,94.0,3.0,11.6,12.6
2015,4,11,2,758.3,764.8,92.0,2.0,11.1,12.4
2015,4,11,5,763.8,764.4,94.0,3.0,11.4,12.4
2015,4,11,8,759.4,766.0,94.0,2.0,11.6,12.6
2015,4,11,11,765.6,766.2,93.0,2.0,12.2,13.4
2015,4,11,14,758.5,764.9,89.0,2.0,13.3,15.1
2015,4,11,17,764.0,764.6,90.0,3.0,13.6,15.3
2015,4,11,20,758.9,765.4,91.0,1.0,13.4,14.9
2015,4,11,23,765.7,766.3,93.0,2.0,13.7,14.9
2015,4,12,2,759.1,765.6,93.0,1.0,13.7,14.9
2015,4,12,5,764.4,765.0,94.0,1.0,12.7,13.7
2015,4,12,8,759.7,766.1,90.0,1.0,13.8,15.5
2015,4,12,11,765.7,766.3,60.0,2.0,13.3,21.4
2015,4,12,14,758.0,764.4,47.0,4.0,12.1,24.1
2015,4,12,17,763.0,763.6,44.0,3.0,11.6,24.7
2015,4,12,20,758.2,764.7,81.0,1.0,14.2,17.5
2015,4,12,23,765.1,765.7,92.0,3.0,13.5,14.8
2015,4,13,2,758.8,765.2,93.0,2.0,12.3,13.5
2015,4,13,5,764.3,764.9,90.0,2.0,11.4,13.0
2015,4,13,8,759.5,765.9,70.0,2.0,13.1,18.7
2015,4,13,11,765.7,766.3,40.0,6.0,9.9,24.4
