Year,Month,Day,Hour,Po,P,U,Ff,Td,T
2015,4,1,2,758.1,759.7,86.0,1.0,20.4,22.9
2015,4,1,5,757.5,759.1,85.0,1.0,20.3,23.0
2015,4,1,8,758.8,760.4,83.0,1.0,20.9,24.0
2015,4,1,11,758.8,760.3,63.0,4.0,20.7,28.4
2015,4,1,14,757.3,758.9,68.0,2.0,21.0,27.4
2015,4,1,17,756.0,757.6,68.0,2.0,20.0,26.4
2015,4,1,20,752.3,757.9,78.0,1.0,20.8,24.9
2015,4,1,23,756.9,758.5,82.0,2.0,21.1,24.4
2015,4,2,2,751.3,756.9,84.0,1.0,20.5,23.4
2015,4,2,5,754.7,756.3,86.0,1.0,21.0,23.5
2015,4,2,8,756.0,757.6,81.0,1.0,21.5,25.0
2015,4,2,11,756.2,757.7,69.0,2.0,21.2,27.4
2015,4,2,14,754.1,755.6,69.0,1.0,21.7,27.9
2015,4,2,17,752.8,754.3,74.0,2.0,21.7,26.7
2015,4,2,20,753.4,755.0,81.0,1.0,21.8,25.3
2015,4,2,23,754.2,755.8,83.0,2.0,22.1,25.2
2015,4,3,2,749.2,754.6,87.0,1.0,22.2,24.5
2015,4,3,5,752.9,754.5,85.0,1.0,21.5,24.2
2015,4,3,8,754.6,756.2,79.0,2.0,21.9,25.8
2015,4,3,11,755.1,756.6,68.0,2.0,21.5,28.0
2015,4,3,14,749.8,755.2,74.0,1.0,22.6,27.7
2015,4,3,17,752.8,754.3,78.0,2.0,22.4,26.6
2015,4,3,20,753.8,755.4,81.0,1.0,22.4,25.9
2015,4,3,23,755.2,756.8,84.0,1.0,22.6,25.5
2015,4,4,2,754.3,755.9,85.0,2.0,22.2,24.9
2015,4,4,5,754.0,755.6,86.0,2.0,22.1,24.6
2015,4,4,8,755.7,757.3,80.0,2.0,22.3,26.0
2015,4,4,11,756.6,758.1,66.0,2.0,21.7,28.7
2015,4,4,14,755.6,757.1,65.0,4.0,21.7,28.9
2015,4,4,17,755.1,756.6,68.0,3.0,21.7,28.2
2015,4,4,20,756.3,757.9,83.0,1.0,22.3,25.4
2015,4,4,23,757.2,758.8,84.0,1.0,21.9,24.8
2015,4,5,2,752.5,758.0,85.0,2.0,21.7,24.4
2015,4,5,5,756.1,757.7,85.0,1.0,21.2,23.9
2015,4,5,8,757.8,759.4,80.0,1.0,21.6,25.3
2015,4,5,11,757.9,759.4,56.0,1.0,19.8,29.5
2015,4,5,14,752.4,757.9,49.0,4.0,18.8,30.7
2015,4,5,17,755.4,756.9,57.0,3.0,19.6,29.0
2015,4,5,20,756.6,758.2,68.0,1.0,19.4,25.7
2015,4,5,23,757.6,759.2,73.0,1.0,19.4,24.6
2015,4,6,2,756.8,758.4,76.0,1.0,19.8,24.3
2015,4,6,5,756.3,757.9,81.0,1.0,20.0,23.4
2015,4,6,8,757.2,758.8,80.0,1.0,21.3,25.0
2015,4,6,11,758.1,759.6,59.0,2.0,20.9,29.8
2015,4,6,14,756.6,758.1,58.0,3.0,21.2,30.4
2015,4,6,17,755.9,757.4,62.0,4.0,20.9,28.9
2015,4,6,20,756.9,758.5,75.0,2.0,21.7,26.5
2015,4,6,23,758.0,759.6,75.0,2.0,21.2,26.0
2015,4,7,2,753.5,759.0,81.0,2.0,21.9,25.4
2015,4,7,5,756.8,758.4,83.0,1.0,21.9,25.0
