Year,Month,Day,Hour,Po,P,U,Ff,Td,T
2015,4,1,2,752.3,754.4,82.0,2.0,20.5,23.8
2015,4,1,5,750.9,753.8,84.0,2.0,19.8,22.6
2015,4,1,8,752.8,754.9,77.0,3.0,20.4,24.7
2015,4,1,11,751.6,754.4,69.0,4.0,20.7,26.9
2015,4,1,14,749.8,751.9,67.0,3.0,20.3,26.9
2015,4,1,17,747.0,749.8,73.0,3.0,18.4,23.5
2015,4,1,20,747.8,749.9,82.0,2.0,16.0,19.1
2015,4,1,23,747.6,750.5,86.0,3.0,13.4,15.7
2015,4,2,2,749.3,751.5,88.0,3.0,11.2,13.1
2015,4,2,5,747.8,750.8,94.0,1.0,11.2,12.1
2015,4,2,8,750.1,752.2,97.0,0.0,10.4,10.9
2015,4,2,11,750.5,753.5,92.0,4.0,10.1,11.4
2015,4,2,14,750.1,752.3,78.0,3.0,10.7,14.5
2015,4,2,17,748.1,751.0,85.0,2.0,11.9,14.4
2015,4,2,20,749.5,751.6,93.0,1.0,12.5,13.6
2015,4,2,23,749.8,752.8,97.0,1.0,11.9,12.4
2015,4,3,2,750.3,752.5,94.0,1.0,12.6,13.5
2015,4,3,5,749.8,752.8,83.0,2.0,10.5,13.3
2015,4,3,8,752.5,754.6,75.0,1.0,10.2,14.6
2015,4,3,11,752.6,755.5,64.0,1.0,10.1,17.0
2015,4,3,14,751.9,754.0,69.0,3.0,11.8,17.5
2015,4,3,17,750.1,753.0,78.0,4.0,13.4,17.3
2015,4,3,20,750.4,752.5,77.0,3.0,12.2,16.2
2015,4,3,23,751.5,754.5,95.0,3.0,12.8,13.6
2015,4,4,2,751.4,753.6,97.0,2.0,12.9,13.4
2015,4,4,5,750.6,753.6,96.0,4.0,11.1,11.7
2015,4,4,8,753.6,755.8,95.0,2.0,10.9,11.7
2015,4,4,11,754.0,757.0,97.0,3.0,11.6,12.1
2015,4,4,14,755.1,757.3,89.0,2.0,11.4,13.2
2015,4,4,17,754.3,757.3,88.0,3.0,11.6,13.5
2015,4,4,20,756.6,758.8,96.0,2.0,12.1,12.7
2015,4,4,23,756.3,759.3,95.0,3.0,11.7,12.5
2015,4,5,2,756.4,758.7,97.0,3.0,11.4,11.9
2015,4,5,5,755.5,758.5,97.0,2.0,11.2,11.7
2015,4,5,8,757.9,760.1,98.0,2.0,11.2,11.5
2015,4,5,11,758.3,761.3,97.0,3.0,11.1,11.6
2015,4,5,14,758.8,761.0,96.0,4.0,11.5,12.1
2015,4,5,17,758.1,761.1,95.0,3.0,11.4,12.2
2015,4,5,20,760.3,762.5,96.0,1.0,11.5,12.1
2015,4,5,23,760.7,763.7,87.0,2.0,9.9,12.0
2015,4,6,2,760.9,763.1,88.0,2.0,9.6,11.5
2015,4,6,5,759.7,762.7,89.0,3.0,10.0,11.8
2015,4,6,8,761.8,764.1,96.0,4.0,10.7,11.3
2015,4,6,11,762.4,765.4,97.0,4.0,11.5,12.0
2015,4,6,14,763.2,765.4,95.0,5.0,11.3,12.1
2015,4,6,17,762.8,765.8,92.0,4.0,10.5,11.8
2015,4,6,20,765.7,767.9,90.0,5.0,9.5,11.1
2015,4,6,23,766.0,769.0,84.0,4.0,8.6,11.2
2015,4,7,2,766.0,768.2,84.0,4.0,8.4,11.0
2015,4,7,5,764.7,767.8,85.0,5.0,7.4,9.8
2015,4,7,8,768.2,770.5,89.0,5.0,7.1,8.8
2015,4,7,11,769.2,772.3,85.0,7.0,5.8,8.2
2015,4,7,14,769.9,772.2,70.0,7.0,4.8,10.0
2015,4,7,17,768.9,772.0,76.0,5.0,4.7,8.7
2015,4,7,20,770.6,772.9,80.0,3.0,4.3,7.5
2015,4,7,23,770.6,773.7,83.0,2.0,3.6,6.3
2015,4,8,2,770.2,772.5,90.0,1.0,3.2,4.7
2015,4,8,5,768.6,771.7,96.0,2.0,3.3,3.9
2015,4,8,8,769.9,772.3,94.0,1.0,5.1,6.0
2015,4,8,11,769.2,772.3,66.0,2.0,4.4,10.5
2015,4,8,14,767.7,770.0,57.0,2.0,3.8,12.1
2015,4,8,17,765.3,768.3,58.0,0.0,4.5,12.5
2015,4,8,20,766.2,768.5,91.0,0.0,6.1,7.5
2015,4,8,23,766.2,769.3,97.0,0.0,5.4,5.8
2015,4,9,2,765.4,767.7,98.0,0.0,4.3,4.6
2015,4,9,5,763.8,766.9,98.0,0.0,3.6,3.9
2015,4,9,8,765.7,768.0,98.0,1.0,9.2,9.5
2015,4,9,11,765.2,768.2,62.0,2.0,5.8,12.9
2015,4,9,14,764.6,766.9,54.0,1.0,5.2,14.4
2015,4,9,17,763.3,766.3,56.0,2.0,5.3,13.9
2015,4,9,20,764.9,767.2,73.0,1.0,7.5,12.2
2015,4,9,23,765.0,768.0,82.0,1.0,8.3,11.3
2015,4,10,2,765.4,767.7,95.0,1.0,7.3,8.1
2015,4,10,5,764.7,767.8,98.0,0.0,5.7,6.0
2015,4,10,8,766.6,768.8,99.0,1.0,9.9,10.0
2015,4,10,11,765.8,768.8,54.0,1.0,7.0,16.3
2015,4,10,14,764.7,766.9,49.0,2.0,8.0,18.9
2015,4,10,17,763.4,766.3,44.0,1.0,7.0,19.6
2015,4,10,20,764.5,766.7,90.0,0.0,10.6,12.2
2015,4,10,23,764.9,768.0,97.0,0.0,9.3,9.8
2015,4,11,2,764.8,767.1,98.0,0.0,8.5,8.8
2015,4,11,5,763.6,766.7,99.0,0.0,7.6,7.7
